Binding Energy (eV),Counts
306.08,173044
305.58,173897
305.08,171370
304.58,172251
304.08,170529
303.58,173834
303.08,172962
302.58,170738
302.08,172530
301.58,169614
301.08,169040
300.58,170191
300.08,170571
299.58,168027
299.08,168790
298.58,172375
298.08,168157
297.58,166596
297.08,166895
296.58,168949
296.08,167253
295.58,166526
295.08,165659
294.58,167701
294.08,166816
293.58,168104
293.08,165394
292.58,171488
292.08,171696
291.58,173709
291.08,172157
290.58,176655
290.08,182799
289.58,191527
289.08,205217
288.58,213801
288.08,216739
287.58,216759
287.08,225397
286.58,248602
286.08,290521
285.58,339150
285.08,376372
284.58,359986
284.08,301764
283.58,236361
283.08,192601
282.58,173628
282.08,167671
281.58,164482
281.08,162100
280.58,161854
280.08,162555
279.58,160706
279.08,158756
278.58,159303
278.08,161509
277.58,160336
277.08,158422
276.58,160646
276.08,159674
275.58,158827
275.08,160780
274.58,159400
274.08,158824
273.58,158258
273.08,159678
272.58,158950
272.08,161022
271.58,162471
271.08,163172
270.58,161678
270.08,163682
269.58,162391
269.08,161232
268.58,161272
268.08,163551
267.58,163401
267.08,162573
266.58,165243
266.08,163750
265.58,160990
265.08,161705
264.58,163531
264.08,164433
263.58,164138
263.08,160064
262.58,164469
262.08,162607
261.58,164426
261.08,164954
260.58,163746
260.08,163159
259.58,163640
259.08,165957
258.58,163379
258.08,164637
257.58,165266
257.08,163687
256.58,165582
256.08,164014
255.58,163481
255.08,164791
254.58,167450
254.08,165458
253.58,165114
253.08,166575
252.58,164523
252.08,166308
251.58,168627
251.08,166796
250.58,164708
250.08,167940
249.58,165778
249.08,167647
248.58,166065
248.08,167057
247.58,167254
247.08,167524
246.58,167322
246.08,166692
245.58,170360
245.08,167250
244.58,166938
244.08,168425
243.58,169894
243.08,167175
242.58,169051
242.08,167957
241.58,168328
241.08,168385
240.58,169308
240.08,169475
239.58,169528
239.08,169224
238.58,168816
238.08,170369
237.58,170760
237.08,170968
236.58,169508
236.08,169568
235.58,170894
235.08,171311
234.58,170520
234.08,172040
233.58,175124
233.08,173336
232.58,173995
232.08,173913
231.58,177168
231.08,173897
230.58,172554
230.08,175449
229.58,172541
229.08,170818
228.58,175918
228.08,171627
227.58,171915
227.08,171836
226.58,175155
226.08,173691
225.58,171067
225.08,172767
224.58,174577
224.08,173867
223.58,172629
223.08,172785
222.58,175523
222.08,173497
221.58,174549
221.08,174547
220.58,175064
220.08,175650
219.58,171565
219.08,174956
218.58,175466
218.08,177287
217.58,176401
217.08,175590
216.58,174920
216.08,173840
215.58,175864
215.08,176139
214.58,178999
214.08,174237
213.58,177253
213.08,177187
212.58,177526
212.08,175546
211.58,178019
211.08,176833
210.58,175749
210.08,177969
209.58,177208
209.08,177223
208.58,176637
208.08,177954
207.58,178196
207.08,180370
206.58,180709
206.08,177645
205.58,176437
205.08,180844
204.58,176952
204.08,177360
203.58,177044
203.08,178765
202.58,179066
202.08,180573
201.58,178750
201.08,180044
200.58,180495
200.08,181048
